ID,Monthly_food_expense,Monthly_Income,Gender,Education_Level
1,900,3500,Male,Bachelor's Degree
2,1500,4900,Male,Doctorate
3,700,2100,Female,High School
4,1100,3900,Female,Master's Degree
5,500,1500,Male,High School
6,800,2800,Female,Bachelor's Degree
7,900,2500,Male,Bachelor's Degree
8,700,2400,Male,High School
9,800,2900,Female,Bachelor's Degree
10,900,3400,Male,Bachelor's Degree
11,1200,4000,Male,Master's Degree
12,300,1000,Female,High School
13,500,1400,Female,High School
14,400,1300,Female,High School
15,800,2700,Female,Bachelor's Degree
16,1600,5000,Male,Doctorate
17,1300,4500,Male,Master's Degree
18,1300,4600,Male,Master's Degree
19,1000,3700,Male,Master's Degree
20,1000,3800,Female,Master's Degree
21,700,2000,Female,High School
22,700,2300,Female,High School
23,900,3200,Male,Bachelor's Degree
24,800,3100,Male,Bachelor's Degree
25,800,3000,Male,Bachelor's Degree
26,700,2600,Male,Bachelor's Degree
27,1400,4700,Female,Doctorate
28,1200,4100,Male,Master's Degree
29,400,1400,Male,High School
30,1300,4200,Male,Master's Degree
