,ID,Gender,MaritalStat,EducationLevel,Field,Experience,HappyWorkingHere?,TakeAdditionalCourse?,Position,Sector,Age,SatisfiedMySalary,WagePolicyFairness,SatisfiedNonWageCompensation,SatisfiedMyWork,SatisfiedMyOrganization,ManagementAttitude,WageReward,ColleaguesAttitude,WorkingConditions,JobSecurity,FinancialPerformance,NonFinancialPerformans
0,1.0,Male,Married,PhD,Education,11 - 15 Years,Yes,No,Staff,State,41.0,Agree,Agree,Agree,Strongly agree,Strongly agree,4.17,4.14,4.0,4.83,4.5,3.75,4.0
1,2.0,Female,Married,Master,Health Care,16 - 20 Years,Yes,Yes,Mid-level manager,State,37.0,Disagree,Disagree,Disagree,Agree,Agree,3.75,2.43,4.33,4.5,3.5,3.0,3.25
2,3.0,Female,Married,PhD,Education,11 - 15 Years,Yes,No,Mid-level manager,State,34.0,Agree,Agree,Agree,Agree,Agree,3.75,4.0,4.33,4.0,4.5,4.0,3.75
3,4.0,Male,Married,Bachelor,Health Care,6 - 10 Years,Yes,Yes,Mid-level manager,Private,28.0,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,2.92,1.86,3.0,2.5,3.5,1.5,2.25
4,5.0,Male,Married,Bachelor,Health Care,16 - 20 Years,Yes,Yes,Mid-level manager,Private,38.0,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,3.75,1.86,3.67,3.83,4.5,3.5,3.75
5,6.0,Male,Married,PhD,Health Care,6 - 10 Years,No,Yes,Expert,Private,36.0,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,3.75,1.71,3.83,4.17,5.0,3.5,3.25
6,7.0,Male,Married,Master,Education,1 - 5 Years,Yes,No,Expert,Private,28.0,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,3.25,3.14,4.0,3.67,2.0,3.0,2.5
7,8.0,Male,Married,PhD,Education,6 - 10 Years,Yes,No,Staff,State,29.0,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4.42,4.71,4.5,4.83,1.0,3.0,3.5
8,9.0,Female,Married,Master,Education,1 - 5 Years,Yes,Yes,Expert,Private,26.0,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,4.0,4.71,4.33,4.5,4.0,3.25,3.0
9,10.0,Male,Married,PhD,Education,11 - 15 Years,No,Yes,Staff,State,36.0,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,3.83,3.43,2.83,4.17,3.0,3.0,3.0
10,11.0,Female,Married,Master,Education,1 - 5 Years,Yes,No,Staff,State,27.0,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,3.17,2.57,3.83,2.5,1.0,2.75,2.25
11,12.0,Male,Married,Master,Finance,11 - 15 Years,Yes,Yes,Senior manager,Private,33.0,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,4.83,4.14,4.0,4.67,4.0,3.0,3.0
12,13.0,Male,Married,PhD,Education,6 - 10 Years,Yes,No,Staff,State,33.0,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Agree,3.75,4.0,4.67,4.33,2.5,3.5,3.25
13,14.0,Male,Married,Master,Health Care,16 - 20 Years,Yes,Yes,Expert,Private,50.0,Strongly disagree,Strongly disagree,Agree,Agree,Agree,3.58,2.43,3.67,3.83,4.5,1.75,1.5
14,15.0,Male,Married,PhD,Health Care,21 + Years,Yes,Yes,Expert,Private,62.0,Agree,Agree,Agree,Strongly agree,Strongly agree,4.25,4.29,4.83,4.83,5.0,4.25,4.25
15,16.0,Female,Married,Bachelor,Health Care,11 - 15 Years,Yes,Yes,Mid-level manager,State,34.0,Disagree,Strongly disagree,Strongly disagree,Agree,Neither agree nor disagree,3.42,1.86,4.5,3.5,3.0,2.75,2.75
16,17.0,Female,Married,Master,Health Care,1 - 5 Years,Yes,No,Staff,State,25.0,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,2.92,3.0,3.0,2.83,3.5,3.25,4.0
17,18.0,Male,Married,PhD,Health Care,21 + Years,Yes,No,Expert,Private,47.0,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,2.42,2.86,2.83,3.33,4.5,3.0,2.25
18,19.0,Female,Married,Master,Health Care,11 - 15 Years,Yes,No,Staff,State,41.0,Neither agree nor disagree,Agree,Strongly disagree,Agree,Agree,2.17,2.29,1.5,2.83,5.0,4.0,4.0
19,20.0,Male,Married,Master,Health Care,16 - 20 Years,Yes,No,Staff,State,42.0,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,3.25,1.29,4.17,1.83,5.0,3.0,2.25
20,21.0,Male,Married,Master,Health Care,16 - 20 Years,Yes,No,Staff,State,42.0,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,3.17,1.29,3.33,1.5,5.0,2.75,1.5
21,22.0,Female,Married,Master,Health Care,11 - 15 Years,Yes,Yes,Mid-level manager,State,38.0,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,4.58,3.14,3.83,4.33,3.5,4.25,4.25
22,23.0,Female,Married,PhD,Health Care,16 - 20 Years,Yes,No,Mid-level manager,State,42.0,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,3.83,3.43,3.67,4.0,5.0,3.25,4.0
23,24.0,Male,Married,Master,Education,1 - 5 Years,No,No,Staff,State,26.0,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,3.92,3.14,3.83,3.83,4.0,2.75,2.75
24,25.0,Female,Married,Master,Health Care,16 - 20 Years,Yes,Yes,Expert,Private,42.0,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,2.5,2.71,2.67,3.17,3.5,2.5,3.0
25,26.0,Female,Married,Bachelor,Health Care,1 - 5 Years,Yes,No,Mid-level manager,State,29.0,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,4.75,4.29,4.0,5.0,5.0,3.75,4.0
