ID,FinalExam,Department
1,72,Accounting
2,77,Accounting
3,63,Accounting
4,67,Accounting
5,57,Accounting
6,53,Accounting
7,84,Accounting
8,55,Accounting
9,39,Accounting
10,77,Accounting
11,57,Accounting
12,58,Accounting
13,82,Accounting
14,63,Accounting
15,56,Accounting
16,32,Accounting
17,74,Accounting
18,72,Accounting
19,68,Accounting
20,67,Accounting
21,64,Accounting
22,77,Accounting
23,49,Accounting
24,60,Accounting
25,55,Accounting
26,75,Accounting
27,79,Accounting
28,56,Accounting
29,70,Accounting
30,28,Accounting
31,81,Accounting
32,76,Accounting
33,62,Accounting
34,80,Accounting
35,67,Accounting
36,80,Accounting
37,88,Accounting
38,64,Accounting
39,68,Accounting
40,88,Accounting
41,75,Marketing
42,81,Marketing
43,64,Marketing
44,62,Marketing
45,66,Marketing
46,45,Marketing
47,75,Marketing
48,82,Marketing
49,71,Marketing
50,52,Marketing
51,66,Marketing
52,89,Marketing
53,92,Marketing
54,84,Marketing
55,82,Marketing
56,93,Marketing
57,78,Marketing
58,69,Marketing
59,68,Marketing
60,64,Marketing
61,54,Marketing
62,58,Marketing
63,86,Marketing
64,78,Marketing
65,87,Marketing
66,58,Marketing
67,74,Marketing
68,84,Marketing
69,82,Marketing
70,61,Marketing
71,69,Marketing
72,82,Marketing
73,75,Marketing
74,86,Marketing
75,86,Marketing
76,71,Marketing
77,100,Marketing
78,69,Marketing
79,69,Marketing
80,57,Marketing
81,68,Marketing
82,91,Marketing
83,74,Marketing
84,100,Marketing
85,53,Marketing
86,84,Marketing
87,66,CSIS
88,80,CSIS
89,78,CSIS
90,71,CSIS
91,68,CSIS
92,74,CSIS
93,84,CSIS
94,66,CSIS
95,85,CSIS
96,84,CSIS
97,82,CSIS
98,73,CSIS
99,73,CSIS
100,68,CSIS
101,95,CSIS
102,68,CSIS
103,59,CSIS
104,72,CSIS
105,99,CSIS
106,72,CSIS
107,66,CSIS
108,70,CSIS
109,88,CSIS
110,76,CSIS
111,75,CSIS
112,62,CSIS
113,78,CSIS
114,67,CSIS
115,76,CSIS
116,77,CSIS
117,73,CSIS
118,100,CSIS
119,58,CSIS
120,76,CSIS
121,71,CSIS
122,70,CSIS
123,63,CSIS
124,81,CSIS
125,71,CSIS
126,63,CSIS
127,88,CSIS
128,77,CSIS
129,75,CSIS
130,77,CSIS
131,55,CSIS
132,73,CSIS
133,73,CSIS
134,70,CSIS
135,69,CSIS
136,84,CSIS
137,91,Finance
138,84,Finance
139,74,Finance
140,78,Finance
141,70,Finance
142,77,Finance
143,80,Finance
144,95,Finance
145,66,Finance
146,86,Finance
147,63,Finance
148,72,Finance
149,72,Finance
150,55,Finance
151,90,Finance
152,71,Finance
153,63,Finance
154,75,Finance
155,86,Finance
156,80,Finance
157,75,Finance
158,87,Finance
159,53,Finance
160,88,Finance
161,99,Finance
162,61,Finance
163,56,Finance
164,76,Finance
165,74,Finance
166,96,Finance
167,65,Finance
168,95,Finance
169,85,Finance
170,90,Finance
171,98,Finance
172,74,Finance
173,97,Finance
174,67,Finance
175,82,Finance
176,66,Finance
177,73,Finance
178,67,Finance
179,95,Finance
180,72,Finance
181,75,Finance
182,89,Finance
183,82,Finance
184,100,Finance
185,80,Finance
186,100,Finance
187,85,Finance
188,60,Finance
189,81,Finance
190,67,Finance
191,76,Finance
192,80,Finance
193,71,Finance
194,65,Finance
195,71,Finance
